epoch,packet,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,learning_rate,training_time
1,packet_001,5000,4.1474381449875555,3.3892731870173094,1.0,1.0,0,0,100.0,0,1,0.0003,33.47207283973694
1,packet_002,5000,3.3591759857858063,3.3238936193061597,1.0,1.0,0,0,100.0,0,1,0.0003,34.62322282791138
1,packet_003,5000,3.318745171188549,3.2776467688484296,1.0,1.0,0,0,100.0,0,1,0.0003,95.02448558807373
1,packet_004,5000,3.2664861405731007,3.2505073553931285,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.561874866485596
1,packet_005,5000,3.2652226010705254,3.288788744240753,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.090052127838135
1,packet_006,5000,3.2466874137805526,3.218708441605581,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,102.87205243110657
1,packet_007,5000,3.2338606961973153,3.2190622252209455,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.50837564468384
1,packet_008,5000,3.236492343768952,3.2133207084718816,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.80178713798523
1,packet_009,5000,3.217191176809323,3.216485152231432,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,32.41373658180237
1,packet_010,5000,3.220259418912754,3.1990910653568823,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.702614307403564
1,packet_011,5000,3.211449618552141,3.212912581183694,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.27877950668335
1,packet_012,5000,3.1981966358840843,3.2306534225947274,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,32.40868020057678
1,packet_013,5000,3.1664277064572475,3.115128978881626,0.9467021930156228,1.0,0.05329780698437725,0,98.64746986602978,1,1,0.0003,32.4833927154541
1,packet_014,5000,3.132096211621716,3.0927103104341787,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,33.47163271903992
1,packet_015,5000,3.106999003963106,3.087289148125767,0.8505275995404523,1.0,0.14947240045954768,0,95.94240959808934,3,1,0.0003,33.50216364860535
1,packet_016,736,3.1708469079888384,3.1202580560994213,0.9661247748117247,1.0,0.03387522518827535,0,98.64746986602978,1,1,0.0003,4.8525261878967285
