epoch,packet,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,learning_rate,training_time
1,packet_001,5000,3.9969948340373436,3.3390185392920966,1.0,1.0,0,0,100.0,0,1,0.0003,31.698731899261475
2,packet_001,5000,3.3545588004361293,3.2721653240771333,1.0,1.0,0,0,100.0,0,1,0.0003,22.734665155410767
3,packet_001,5000,3.2997619619794714,3.221768561801963,0.8731469805179944,1.0,0.12685301948200556,0,93.75,2,1,0.0003,56.00519323348999
4,packet_001,5000,3.260801471722354,3.1960547265927652,0.8576481700550477,1.0,0.14235182994495232,0,93.75,2,1,0.0003,23.41841745376587
5,packet_001,5000,3.2394354130811753,3.1804956726463045,0.8576481700550477,1.0,0.14235182994495232,0,93.75,2,1,0.0003,81.77503895759583
