epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.460255561614755,3.092450870955286,0.9294961789870964,1.0,0.07050382101290364,0,97.21820539612644,7,7,2.0567339196413177,0.0003,533.2288110256195
2,126419,2.493738635163825,2.986364182690287,0.8857802463112812,1.0,0.11421975368871884,0,96.88502910773595,28,147,2.3030694947404724,0.0003,180.1246156692505
3,126419,1.8654336215000882,2.6571159277408904,0.7850530504028141,0.9983617865149164,0.21494694959718585,0.0016382134850836394,95.90882374892712,42,1502,3.024314536989136,0.0003,270.65583419799805
4,126419,1.6078133182687355,2.3828538409934557,0.686059873500437,0.9955164683566132,0.31394012649956304,0.004483531643386773,94.98742863007053,54,4051,3.6937403000517333,0.0003,206.58359599113464
5,126419,1.4652393353314257,2.246125994306622,0.6682567694696919,0.9986204518020348,0.3317432305303081,0.0013795481979651525,80.2730949360003,53,7387,5.438954992240041,0.0003,180.30106902122498
