epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.5259073614561234,3.392832447346249,0.9467021930156228,1.0,0.05329780698437725,0,98.64746986602978,1,1,1.0,0.0003,248.08696484565735
2,126419,2.854002078675946,3.0644015806108795,0.8770751464691733,1.0,0.12292485353082672,0,96.55978281150875,15,28,2.5435419899982756,0.0003,179.21163630485535
3,126419,2.093219093659714,2.865266068251008,0.8476775629401365,0.9995688911881359,0.15232243705986348,0.00043110881186414485,96.57377691532633,34,418,2.5331953785135366,0.0003,178.7780523300171
4,126419,1.7654361696341043,2.5429985989552226,0.7206361468198063,0.9982755647525435,0.27936385318019374,0.0017244352474564684,95.12480408254656,46,2182,3.602776340748405,0.0003,178.67617464065552
5,126419,1.5733245186068323,2.3815836867025078,0.637046650367072,0.9981893429901707,0.362953349632928,0.0018106570098292973,93.64772642459977,53,4744,4.680548370408691,0.0003,179.74926161766052
6,126419,1.4568291767371875,2.25486028884068,0.6286782896160603,0.9958613554061045,0.3713217103839397,0.0041386445938954575,94.14288446467887,54,5074,4.263148818761856,0.0003,183.8484127521515
7,126419,1.3783333903323303,2.1650457096493936,0.5854959183461059,0.9968097947922056,0.4145040816538941,0.00319020520779445,93.44131339329029,54,5487,4.783324711157096,0.0003,180.23320174217224
8,126419,1.3165855216726536,2.082500400622029,0.5831256123000502,0.9943955854457666,0.4168743876999498,0.005604414554233439,93.713148859947,58,5579,4.602690118986032,0.0003,179.11502599716187
