epoch,samples,train_loss,validation_loss,CER,WER,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,learning_rate,training_time
1,126419,3.8601163550909714,3.0686332917475436,0.8411209853109742,0.9999137782376272,0.15887901468902577,8.622176237282897e-05,99.1733986651956,26,140,2.7603035006035523,0.0003,7875.420028924942
2,126419,2.073806466481946,2.8042911802019392,0.8208514910959832,0.9998275564752543,0.1791485089040168,0.00017244352474565794,99.19693764360395,31,369,2.7826349370581136,0.0003,6394.958486557007
3,126419,1.7740080275757593,2.7187266506991543,0.7891177620550669,0.9977582341783066,0.2108822379449331,0.002241765821693442,99.25503861039408,43,1047,2.581307121917572,0.0003,5423.176887989044
4,126419,1.5801830482386385,2.3342578332502764,0.6418014344359724,0.9974995688911882,0.3581985655640276,0.002500431108811818,98.8183731430707,48,2769,4.076564924987067,0.0003,5424.999152421951
5,126419,1.4484661429034553,2.2289226762541046,0.5924329599310064,0.998016899465425,0.4075670400689936,0.0019831005345749553,98.62376600762504,50,4274,4.724176582169339,0.0003,5400.653957366943
6,126419,1.3642109674722076,2.136738211244017,0.5746976246329193,0.9982755647525435,0.4253023753670807,0.0017244352474564684,98.62617962380432,57,3873,4.6923607518537676,0.0003,6210.464736700058
7,126419,1.2974906270561912,2.0700855137227654,0.559644006198722,0.9964649077427142,0.440355993801278,0.0035350922572857657,98.58430213896159,56,4108,4.820831177789274,0.0003,5599.74599146843
8,126419,1.2370659786197338,2.008073784492828,0.5488261868420385,0.9960337989308502,0.45117381315796146,0.0039662010691497995,98.57138804827034,56,4052,4.862045180203483,0.0003,5429.16361784935
9,126419,1.191171612334155,1.9791006924031855,0.5461780939331344,0.9951715813071219,0.45382190606686557,0.004828418692878089,98.57691199457757,55,4036,4.853595447490947,0.0003,6465.287964105606
