checkpoint_dir,relative_path,size_bytes,sha256,global_step,epoch
checkpoint-5000,config.json,825,ef1832a1e0777edaa7ee4dfb4b5f0d2f9f1ab2ef3d4e27700ca62a5c277cf158,5000,0.0652430630313232
checkpoint-5000,model.safetensors,132610304,43f01f6bd1b61f743c5e80ecb9f37c567cee7b3912a77c4971d77c9652129945,5000,0.0652430630313232
checkpoint-5000,optimizer.pt,265238107,a9c3d961ab5e9a0cff05712a2fe6280700733dac9ab955cec4c068203b2d991c,5000,0.0652430630313232
checkpoint-5000,rng_state.pth,14645,12d9e1bcb5c1b669d281f13b90a7dcd2832a890407b9300e984a3dfffbbb8ceb,5000,0.0652430630313232
checkpoint-5000,scheduler.pt,1465,3e080064766751c8f295d067920bfb352067cc6b46b494ae88d84ec4fedb32e9,5000,0.0652430630313232
checkpoint-5000,tokenizer.json,15285685,0fc09eea015f3c81e5b10995d430588cc88c3b02e89fc2432dafe12e00a4b589,5000,0.0652430630313232
checkpoint-5000,tokenizer_config.json,570,4fa75915a5f7e1e820de57f688babb88d30f05edc3324b44a918c803b98b25aa,5000,0.0652430630313232
checkpoint-5000,trainer_state.json,11723,a5383eba02ef710c46a0bbd4650df93abbf9dcaf113cb4e5ca80f6b3f3855869,5000,0.0652430630313232
checkpoint-5000,training_args.bin,5201,ba3275253cad140b0c3856aff55442c549f90c2c6cbe90ab22a4e8997dc6ffa1,5000,0.0652430630313232
checkpoint-6000,config.json,825,ef1832a1e0777edaa7ee4dfb4b5f0d2f9f1ab2ef3d4e27700ca62a5c277cf158,6000,0.07829167563758783
checkpoint-6000,model.safetensors,132610304,3e67a966a62e475b5d9cb998e8ba0f77ba8e81d552b64262e07c4acf28ac5ff3,6000,0.07829167563758783
checkpoint-6000,optimizer.pt,265238107,fe46d3347484911d28778757274180c3330acddd1c130d84942104a02866f44b,6000,0.07829167563758783
checkpoint-6000,rng_state.pth,14645,ea8468579ef56fe858d04e482a8107b7fb208622ae583db6dce8ef5a55320484,6000,0.07829167563758783
checkpoint-6000,scheduler.pt,1465,71877814b8602ae658ba05b1a9a9d1e73d1fc1b348b561996adea0761f8b8045,6000,0.07829167563758783
checkpoint-6000,tokenizer.json,15285685,0fc09eea015f3c81e5b10995d430588cc88c3b02e89fc2432dafe12e00a4b589,6000,0.07829167563758783
checkpoint-6000,tokenizer_config.json,570,4fa75915a5f7e1e820de57f688babb88d30f05edc3324b44a918c803b98b25aa,6000,0.07829167563758783
checkpoint-6000,trainer_state.json,13876,bbb09cd98d7d872355734d7fa5b5dc5e60469efab4eade63a65776e0a8d71686,6000,0.07829167563758783
checkpoint-6000,training_args.bin,5201,ba3275253cad140b0c3856aff55442c549f90c2c6cbe90ab22a4e8997dc6ffa1,6000,0.07829167563758783
checkpoint-7000,config.json,825,ef1832a1e0777edaa7ee4dfb4b5f0d2f9f1ab2ef3d4e27700ca62a5c277cf158,7000,0.09134028824385247
checkpoint-7000,model.safetensors,132610304,83eaa6abb07167d2ab234d2120b12051b9fece40b56375ced5f003aba56a3c63,7000,0.09134028824385247
checkpoint-7000,optimizer.pt,265238107,417dab162cd9f91da1a243eaea70cb5e2271943700b2955e9c108ab55fd323f5,7000,0.09134028824385247
checkpoint-7000,rng_state.pth,14645,9437a36a261ff93cbf133fb8962248ef6f2f2dbc4c55b7c22797b639d18a4c53,7000,0.09134028824385247
checkpoint-7000,scheduler.pt,1465,b5a6e07aec461330b61c722dfe36eac3e487b275027c6f6470510d33e52cb507,7000,0.09134028824385247
checkpoint-7000,tokenizer.json,15285685,0fc09eea015f3c81e5b10995d430588cc88c3b02e89fc2432dafe12e00a4b589,7000,0.09134028824385247
checkpoint-7000,tokenizer_config.json,570,4fa75915a5f7e1e820de57f688babb88d30f05edc3324b44a918c803b98b25aa,7000,0.09134028824385247
checkpoint-7000,trainer_state.json,16026,099365fb399b823ff999a2b2794eaa81d8e95d42d6657da7afe82aa761781095,7000,0.09134028824385247
checkpoint-7000,training_args.bin,5201,ba3275253cad140b0c3856aff55442c549f90c2c6cbe90ab22a4e8997dc6ffa1,7000,0.09134028824385247
checkpoint-8000,config.json,825,ef1832a1e0777edaa7ee4dfb4b5f0d2f9f1ab2ef3d4e27700ca62a5c277cf158,8000,0.10438890085011711
checkpoint-8000,model.safetensors,132610304,f4366065b5a2f32f0dcb3288f6560713f5e4f2b7765f246ef2d1e6be786e508a,8000,0.10438890085011711
checkpoint-8000,optimizer.pt,265238107,2f1ea921149fb93671bc1c8218f3db6d1d3673f59ebfa82ecc963a2466d8f35f,8000,0.10438890085011711
checkpoint-8000,rng_state.pth,14645,d2ac05b3dced1d4ec7de732ce117644a059f7ffa4b6e8e9c369c8bb143e9f443,8000,0.10438890085011711
checkpoint-8000,scheduler.pt,1465,182b3bda128dc3e2ee6df1fcade438780b31e99632d7d7ff6b0bbdf00d4fd825,8000,0.10438890085011711
checkpoint-8000,tokenizer.json,15285685,0fc09eea015f3c81e5b10995d430588cc88c3b02e89fc2432dafe12e00a4b589,8000,0.10438890085011711
checkpoint-8000,tokenizer_config.json,570,4fa75915a5f7e1e820de57f688babb88d30f05edc3324b44a918c803b98b25aa,8000,0.10438890085011711
checkpoint-8000,trainer_state.json,18188,77d91cb9de8212e1265c5a23d14296d71d1f90c6b60ab0e8467293abba93b1d1,8000,0.10438890085011711
checkpoint-8000,training_args.bin,5201,ba3275253cad140b0c3856aff55442c549f90c2c6cbe90ab22a4e8997dc6ffa1,8000,0.10438890085011711
