============================================================
HARDWARE DETECTED
Device: cuda
GPU: NVIDIA GeForce RTX 4060 Laptop GPU
PyTorch version: 2.6.0+cu126
============================================================

Found existing training_state.json in outputs\training\tamil\exp_A2_resolution. Loading state...
Auto-resuming weights from checkpoints\recognition\tamil\exp_A2_resolution\latest.pth...

============================================================
Epoch 42/81 | Global Shuffling Experiment
============================================================
[TRAIN] Loaded 17 packets containing 126419 total samples.
[VALIDATION] Loaded 3 packets containing 11598 total samples.
Total Packets: 17
Total Training Samples: 126419
Batch Size: 32
Number of Batches: 3951
Shuffle: True
Experiment Name: exp_A2_resolution
============================================================


Verifying model forward/backward pass...
============================================================
VERIFYING ONE BATCH BEFORE TRAINING
============================================================
Images shape: torch.Size([32, 1, 32, 219])
Targets shape: torch.Size([216])
Target lengths shape: torch.Size([32])
Actual widths shape: torch.Size([32])
Number of unique packets in this batch: 14
Outputs shape: torch.Size([32, 54, 78])
CTC Loss: 0.5359
First label decoded: 'தீ'
Verification PASSED. Starting training loop...

Verification successful. Starting training...

  Batch 491/3951 | Loss: 0.6055 | Samples: 15712 | Time: 246.1s | Speed: 63.8 samples/s
  Batch 501/3951 | Loss: 0.4404 | Samples: 16032 | Time: 258.0s | Speed: 62.1 samples/s
  Batch 511/3951 | Loss: 0.7176 | Samples: 16352 | Time: 269.5s | Speed: 60.7 samples/s
  Batch 521/3951 | Loss: 0.6859 | Samples: 16672 | Time: 281.2s | Speed: 59.3 samples/s
  Batch 531/3951 | Loss: 0.6337 | Samples: 16992 | Time: 293.8s | Speed: 57.8 samples/s
  Batch 541/3951 | Loss: 0.4777 | Samples: 17312 | Time: 305.7s | Speed: 56.6 samples/s
  Batch 551/3951 | Loss: 0.5667 | Samples: 17632 | Time: 317.8s | Speed: 55.5 samples/s
  Batch 561/3951 | Loss: 0.6770 | Samples: 17952 | Time: 329.6s | Speed: 54.5 samples/s
  Batch 571/3951 | Loss: 0.4382 | Samples: 18272 | Time: 341.4s | Speed: 53.5 samples/s
  Batch 581/3951 | Loss: 0.4445 | Samples: 18592 | Time: 353.4s | Speed: 52.6 samples/s
  Batch 591/3951 | Loss: 0.6282 | Samples: 18912 | Time: 365.4s | Speed: 51.8 samples/s
  Batch 601/3951 | Loss: 0.5048 | Samples: 19232 | Time: 377.1s | Speed: 51.0 samples/s
  Batch 611/3951 | Loss: 0.5082 | Samples: 19552 | Time: 389.4s | Speed: 50.2 samples/s
  Batch 621/3951 | Loss: 0.7201 | Samples: 19872 | Time: 401.3s | Speed: 49.5 samples/s
  Batch 631/3951 | Loss: 0.4425 | Samples: 20192 | Time: 412.9s | Speed: 48.9 samples/s
  Batch 641/3951 | Loss: 0.8177 | Samples: 20512 | Time: 424.2s | Speed: 48.4 samples/s
  Batch 651/3951 | Loss: 0.4732 | Samples: 20832 | Time: 436.6s | Speed: 47.7 samples/s
  Batch 661/3951 | Loss: 0.6616 | Samples: 21152 | Time: 448.8s | Speed: 47.1 samples/s
  Batch 671/3951 | Loss: 0.5906 | Samples: 21472 | Time: 460.3s | Speed: 46.7 samples/s
  Batch 681/3951 | Loss: 0.4706 | Samples: 21792 | Time: 471.6s | Speed: 46.2 samples/s
  Batch 691/3951 | Loss: 0.7031 | Samples: 22112 | Time: 481.3s | Speed: 45.9 samples/s
  Batch 701/3951 | Loss: 0.7622 | Samples: 22432 | Time: 490.1s | Speed: 45.8 samples/s
  Batch 711/3951 | Loss: 0.4841 | Samples: 22752 | Time: 502.4s | Speed: 45.3 samples/s
  Batch 721/3951 | Loss: 0.5537 | Samples: 23072 | Time: 514.7s | Speed: 44.8 samples/s
  Batch 731/3951 | Loss: 0.6856 | Samples: 23392 | Time: 527.5s | Speed: 44.3 samples/s
  Batch 741/3951 | Loss: 0.5112 | Samples: 23712 | Time: 539.2s | Speed: 44.0 samples/s
  Batch 751/3951 | Loss: 0.5355 | Samples: 24032 | Time: 551.5s | Speed: 43.6 samples/s
  Batch 761/3951 | Loss: 0.6674 | Samples: 24352 | Time: 563.4s | Speed: 43.2 samples/s
  Batch 771/3951 | Loss: 0.6540 | Samples: 24672 | Time: 575.8s | Speed: 42.8 samples/s
  Batch 781/3951 | Loss: 0.7571 | Samples: 24992 | Time: 588.3s | Speed: 42.5 samples/s
  Batch 791/3951 | Loss: 0.8160 | Samples: 25312 | Time: 600.4s | Speed: 42.2 samples/s
  Batch 801/3951 | Loss: 0.4965 | Samples: 25632 | Time: 612.3s | Speed: 41.9 samples/s
  Batch 811/3951 | Loss: 0.4356 | Samples: 25952 | Time: 624.7s | Speed: 41.5 samples/s
  Batch 821/3951 | Loss: 0.6522 | Samples: 26272 | Time: 636.6s | Speed: 41.3 samples/s
  Batch 831/3951 | Loss: 0.5799 | Samples: 26592 | Time: 648.6s | Speed: 41.0 samples/s
  Batch 841/3951 | Loss: 0.6481 | Samples: 26912 | Time: 656.6s | Speed: 41.0 samples/s
  Batch 851/3951 | Loss: 0.5472 | Samples: 27232 | Time: 663.6s | Speed: 41.0 samples/s
  Batch 861/3951 | Loss: 0.5210 | Samples: 27552 | Time: 673.4s | Speed: 40.9 samples/s
  Batch 871/3951 | Loss: 0.6604 | Samples: 27872 | Time: 682.2s | Speed: 40.9 samples/s
  Batch 881/3951 | Loss: 0.6305 | Samples: 28192 | Time: 693.5s | Speed: 40.6 samples/s
  Batch 891/3951 | Loss: 0.2748 | Samples: 28512 | Time: 705.3s | Speed: 40.4 samples/s
  Batch 901/3951 | Loss: 0.5786 | Samples: 28832 | Time: 711.7s | Speed: 40.5 samples/s
  Batch 911/3951 | Loss: 0.5443 | Samples: 29152 | Time: 714.5s | Speed: 40.8 samples/s
  Batch 921/3951 | Loss: 0.4462 | Samples: 29472 | Time: 719.8s | Speed: 40.9 samples/s
  Batch 931/3951 | Loss: 0.4528 | Samples: 29792 | Time: 730.5s | Speed: 40.8 samples/s
  Batch 941/3951 | Loss: 0.6061 | Samples: 30112 | Time: 742.9s | Speed: 40.5 samples/s
  Batch 951/3951 | Loss: 0.5804 | Samples: 30432 | Time: 755.0s | Speed: 40.3 samples/s
  Batch 961/3951 | Loss: 0.5702 | Samples: 30752 | Time: 766.3s | Speed: 40.1 samples/s
  Batch 971/3951 | Loss: 0.6440 | Samples: 31072 | Time: 775.7s | Speed: 40.1 samples/s
  Batch 981/3951 | Loss: 0.6285 | Samples: 31392 | Time: 780.4s | Speed: 40.2 samples/s
  Batch 991/3951 | Loss: 0.4182 | Samples: 31712 | Time: 789.0s | Speed: 40.2 samples/s
  Batch 1001/3951 | Loss: 0.5228 | Samples: 32032 | Time: 800.0s | Speed: 40.0 samples/s
  Batch 1011/3951 | Loss: 0.5423 | Samples: 32352 | Time: 811.1s | Speed: 39.9 samples/s
  Batch 1021/3951 | Loss: 0.5779 | Samples: 32672 | Time: 822.4s | Speed: 39.7 samples/s
  Batch 1031/3951 | Loss: 0.4877 | Samples: 32992 | Time: 834.0s | Speed: 39.6 samples/s
  Batch 1041/3951 | Loss: 0.6377 | Samples: 33312 | Time: 844.9s | Speed: 39.4 samples/s
  Batch 1051/3951 | Loss: 0.8485 | Samples: 33632 | Time: 856.3s | Speed: 39.3 samples/s
  Batch 1061/3951 | Loss: 0.5145 | Samples: 33952 | Time: 866.2s | Speed: 39.2 samples/s
  Batch 1071/3951 | Loss: 0.5882 | Samples: 34272 | Time: 870.7s | Speed: 39.4 samples/s
  Batch 1081/3951 | Loss: 0.6165 | Samples: 34592 | Time: 874.9s | Speed: 39.5 samples/s
  Batch 1091/3951 | Loss: 0.6597 | Samples: 34912 | Time: 878.9s | Speed: 39.7 samples/s
  Batch 1101/3951 | Loss: 0.4551 | Samples: 35232 | Time: 883.5s | Speed: 39.9 samples/s
  Batch 1111/3951 | Loss: 0.4986 | Samples: 35552 | Time: 891.9s | Speed: 39.9 samples/s
  Batch 1121/3951 | Loss: 0.5881 | Samples: 35872 | Time: 902.7s | Speed: 39.7 samples/s
  Batch 1131/3951 | Loss: 0.5021 | Samples: 36192 | Time: 908.9s | Speed: 39.8 samples/s
  Batch 1141/3951 | Loss: 0.5537 | Samples: 36512 | Time: 911.2s | Speed: 40.1 samples/s
  Batch 1151/3951 | Loss: 0.5220 | Samples: 36832 | Time: 913.7s | Speed: 40.3 samples/s
  Batch 1161/3951 | Loss: 0.7864 | Samples: 37152 | Time: 918.2s | Speed: 40.5 samples/s
  Batch 1171/3951 | Loss: 0.8743 | Samples: 37472 | Time: 930.7s | Speed: 40.3 samples/s
  Batch 1181/3951 | Loss: 0.4976 | Samples: 37792 | Time: 942.5s | Speed: 40.1 samples/s
  Batch 1191/3951 | Loss: 0.5311 | Samples: 38112 | Time: 953.0s | Speed: 40.0 samples/s
  Batch 1201/3951 | Loss: 0.6940 | Samples: 38432 | Time: 956.7s | Speed: 40.2 samples/s
  Batch 1211/3951 | Loss: 0.6004 | Samples: 38752 | Time: 959.7s | Speed: 40.4 samples/s
  Batch 1221/3951 | Loss: 0.8026 | Samples: 39072 | Time: 970.5s | Speed: 40.3 samples/s
  Batch 1231/3951 | Loss: 0.5115 | Samples: 39392 | Time: 978.7s | Speed: 40.3 samples/s
  Batch 1241/3951 | Loss: 0.5313 | Samples: 39712 | Time: 985.1s | Speed: 40.3 samples/s
  Batch 1251/3951 | Loss: 0.5853 | Samples: 40032 | Time: 988.1s | Speed: 40.5 samples/s
  Batch 1261/3951 | Loss: 0.5408 | Samples: 40352 | Time: 998.1s | Speed: 40.4 samples/s
  Batch 1271/3951 | Loss: 0.6193 | Samples: 40672 | Time: 1011.3s | Speed: 40.2 samples/s
  Batch 1281/3951 | Loss: 0.6365 | Samples: 40992 | Time: 1023.5s | Speed: 40.1 samples/s
  Batch 1291/3951 | Loss: 0.4254 | Samples: 41312 | Time: 1032.8s | Speed: 40.0 samples/s
  Batch 1301/3951 | Loss: 0.3637 | Samples: 41632 | Time: 1040.1s | Speed: 40.0 samples/s
  Batch 1311/3951 | Loss: 0.4794 | Samples: 41952 | Time: 1052.1s | Speed: 39.9 samples/s
  Batch 1321/3951 | Loss: 0.5617 | Samples: 42272 | Time: 1064.1s | Speed: 39.7 samples/s
  Batch 1331/3951 | Loss: 0.5924 | Samples: 42592 | Time: 1076.3s | Speed: 39.6 samples/s
  Batch 1341/3951 | Loss: 0.6645 | Samples: 42912 | Time: 1087.9s | Speed: 39.4 samples/s
  Batch 1351/3951 | Loss: 0.6718 | Samples: 43232 | Time: 1098.5s | Speed: 39.4 samples/s
  Batch 1361/3951 | Loss: 0.5206 | Samples: 43552 | Time: 1103.1s | Speed: 39.5 samples/s
  Batch 1371/3951 | Loss: 0.6085 | Samples: 43872 | Time: 1107.2s | Speed: 39.6 samples/s
  Batch 1381/3951 | Loss: 0.4609 | Samples: 44192 | Time: 1111.5s | Speed: 39.8 samples/s
  Batch 1391/3951 | Loss: 0.5781 | Samples: 44512 | Time: 1115.7s | Speed: 39.9 samples/s
  Batch 1401/3951 | Loss: 0.5677 | Samples: 44832 | Time: 1119.9s | Speed: 40.0 samples/s
  Batch 1411/3951 | Loss: 0.5246 | Samples: 45152 | Time: 1123.9s | Speed: 40.2 samples/s
  Batch 1421/3951 | Loss: 0.5010 | Samples: 45472 | Time: 1128.2s | Speed: 40.3 samples/s
  Batch 1431/3951 | Loss: 0.7080 | Samples: 45792 | Time: 1132.7s | Speed: 40.4 samples/s
  Batch 1441/3951 | Loss: 0.8002 | Samples: 46112 | Time: 1137.1s | Speed: 40.6 samples/s
  Batch 1451/3951 | Loss: 0.7055 | Samples: 46432 | Time: 1141.6s | Speed: 40.7 samples/s
  Batch 1461/3951 | Loss: 0.5566 | Samples: 46752 | Time: 1145.9s | Speed: 40.8 samples/s
  Batch 1471/3951 | Loss: 0.5873 | Samples: 47072 | Time: 1150.8s | Speed: 40.9 samples/s
  Batch 1481/3951 | Loss: 0.5774 | Samples: 47392 | Time: 1155.2s | Speed: 41.0 samples/s
  Batch 1491/3951 | Loss: 0.4300 | Samples: 47712 | Time: 1159.1s | Speed: 41.2 samples/s
  Batch 1501/3951 | Loss: 0.5968 | Samples: 48032 | Time: 1163.5s | Speed: 41.3 samples/s
  Batch 1511/3951 | Loss: 0.5455 | Samples: 48352 | Time: 1167.7s | Speed: 41.4 samples/s
  Batch 1521/3951 | Loss: 0.3183 | Samples: 48672 | Time: 1172.8s | Speed: 41.5 samples/s
  Batch 1531/3951 | Loss: 0.5666 | Samples: 48992 | Time: 1177.6s | Speed: 41.6 samples/s
  Batch 1541/3951 | Loss: 0.6616 | Samples: 49312 | Time: 1182.1s | Speed: 41.7 samples/s
  Batch 1551/3951 | Loss: 0.7021 | Samples: 49632 | Time: 1186.1s | Speed: 41.8 samples/s
