bucket,sample_count,percentage,avg_target_length,median_target_length,min_target_length,max_target_length,avg_image_width,median_image_width,avg_width_per_token
1-5,58322,46.13388810226311,2.141061691985872,2.0,1,5,310.26129076506294,142.0,120.78243973114776
6-10,39723,31.421700851928904,8.090954862422274,8.0,6,10,1517.0617778113435,1541.0,192.7236485479405
11-15,22649,17.91581961572232,12.531414190471985,12.0,11,15,1588.1214181641574,1589.0,127.92473932531333
16+,5725,4.528591430085668,18.095545851528385,17.0,16,32,1679.4344104803492,1664.0,94.1968837648592
20+,1271,1.005386848495875,21.904799370574352,21.0,20,32,1703.5814319433516,1683.0,78.54399861425439
25+,147,0.1162799895585315,26.94557823129252,26.0,25,32,1627.3265306122448,1685.0,60.51848764525108
30+,17,0.0134473457312587,30.823529411764707,30.0,30,32,1624.7058823529412,1682.0,52.92475490196079
