epoch,train_loss,evaluation_loss,cer,wer,character_accuracy,word_accuracy,blank_percentage,unique_predicted_characters,unique_predicted_sequences,average_prediction_length,dominant_character,dominant_character_percentage,exact_match_count,exact_match_percentage,epoch_duration,samples_per_sec,average_target_length,prediction_diversity_ratio
1,7.768571645021439,3.756867676973343,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.305002212524414,151.2858291305324,9.658,0.002
2,3.635046601295471,3.5496328324079514,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.0853137969970703,162.05807023151064,9.658,0.002
3,3.5473960787057877,3.5189654529094696,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.3164749145507812,150.76248513332274,9.658,0.002
4,3.519519791007042,3.4927059412002563,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.2393009662628174,154.35428977037913,9.658,0.002
5,3.4967249631881714,3.474600702524185,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.257275104522705,153.5025393789285,9.658,0.002
6,3.485639661550522,3.4514826238155365,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.0629334449768066,163.24220195512154,9.658,0.002
7,3.4536134749650955,3.43723101913929,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.173459768295288,157.55674768443302,9.658,0.002
8,3.438919112086296,3.4181056022644043,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.197502374649048,156.37204962353752,9.658,0.002
9,3.4185705184936523,3.403649002313614,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.208514451980591,155.8353585383896,9.658,0.002
10,3.410003513097763,3.3946630358695984,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,2.9966084957122803,166.85529681819588,9.658,0.002
11,3.394058421254158,3.3868479281663895,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.14145827293396,159.1617511866633,9.658,0.002
12,3.3939113169908524,3.3729426562786102,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.198700189590454,156.31349309546187,9.658,0.002
13,3.383333832025528,3.365387111902237,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.193826198577881,156.55203787314278,9.658,0.002
14,3.3671139925718307,3.3556011617183685,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.2446470260620117,154.09996711008773,9.658,0.002
15,3.3642802387475967,3.352135017514229,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.15588641166687,158.43409260598546,9.658,0.002
16,3.3562328964471817,3.339546337723732,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.1774280071258545,157.35997759152235,9.658,0.002
17,3.355237826704979,3.3331257104873657,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.22548770904541,155.0153170938531,9.658,0.002
18,3.344133272767067,3.3287999778985977,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.203448534011841,156.08179581827858,9.658,0.002
19,3.3350717574357986,3.315665051341057,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.160057783126831,158.2249548314453,9.658,0.002
20,3.3295341432094574,3.3101762384176254,1.0,1.0,0,0,100.0,0,1,0.0,,0.0,0,0.0,3.1857471466064453,156.9490537039687,9.658,0.002
21,3.3190958499908447,3.320604309439659,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.1734859943389893,157.55544561782312,9.658,0.002
22,3.322502836585045,3.3180021047592163,0.9635226618353563,1.0,0.03647733816464371,0,98.62803204917134,1,1,1.0,ப,100.0,0,0.0,3.1713039875030518,157.66385120137235,9.658,0.002
23,3.331527918577194,3.325266048312187,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.1998136043548584,156.25910188003255,9.658,0.002
24,3.329793229699135,3.293772503733635,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.203009843826294,156.10317307133323,9.658,0.002
25,3.3241255432367325,3.2943975031375885,0.9635226618353563,1.0,0.03647733816464371,0,98.62803204917134,1,1,1.0,ப,100.0,0,0.0,3.1968276500701904,156.40505361276573,9.658,0.002
26,3.3019774854183197,3.285464659333229,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.222352981567383,155.16611707659516,9.658,0.002
27,3.2954399436712265,3.2815838307142258,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.02518367767334,165.27922046192865,9.658,0.002
28,3.295576512813568,3.2796906530857086,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.282769203186035,152.31043337275543,9.658,0.002
29,3.285101681947708,3.285496786236763,0.9635226618353563,1.0,0.03647733816464371,0,98.62803204917134,1,1,1.0,ப,100.0,0,0.0,3.187808036804199,156.84758750443882,9.658,0.002
30,3.2939725518226624,3.2752190977334976,0.9454736714122945,1.0,0.05452632858770545,0,98.62803204917134,1,1,1.0,க,100.0,0,0.0,3.1669139862060547,157.88240608296317,9.658,0.002
